年月日,営業日|店休日,日次売上,ランチ客数,ディナー客数,トータル客数,ランチ組数,ディナー組数,トータル組数
2025-05-02,1,123700,29,16,45,13,7,20
2025-05-03,1,139480,30,15,45,12,6,18
2025-05-04,0,0,0,0,0,0,0,0
2025-05-05,1,107330,27,15,42,14,8,22
2025-05-06,1,108160,27,15,42,14,8,22
2025-05-07,1,108990,27,15,42,14,8,22
2025-05-08,1,109820,27,15,42,14,8,22
2025-05-09,1,130570,30,17,47,14,8,22
2025-05-10,1,147160,32,16,48,13,6,19
2025-05-11,0,0,0,0,0,0,0,0
2025-05-12,1,104830,26,15,41,13,8,21
2025-05-13,1,105660,26,15,41,13,8,21
2025-05-14,1,106500,27,15,42,14,8,22
2025-05-15,1,107330,27,15,42,14,8,22
2025-05-16,1,127630,29,16,45,13,7,20
2025-05-17,1,143870,31,15,46,12,6,18
2025-05-18,0,0,0,0,0,0,0,0
2025-05-19,1,110660,28,15,43,14,8,22
2025-05-20,1,111490,28,16,44,14,8,22
2025-05-21,1,104000,26,15,41,13,8,21
2025-05-22,1,104830,26,15,41,13,8,21
2025-05-23,1,124680,29,16,45,13,7,20
2025-05-24,1,140570,30,15,45,12,6,18
2025-05-25,0,0,0,0,0,0,0,0
2025-05-26,1,108160,27,15,42,14,8,22
2025-05-27,1,108990,27,15,42,14,8,22
2025-05-28,1,109820,27,15,42,14,8,22
2025-05-29,1,110660,28,15,43,14,8,22
2025-05-30,1,131560,30,17,47,14,8,22
2025-05-31,1,137280,29,15,44,12,6,18
2025-06-01,0,0,0,0,0,0,0,0
2025-06-02,1,112900,28,16,44,14,8,22
2025-06-03,1,113790,28,16,44,14,8,22
2025-06-04,1,114690,29,16,45,14,8,22
2025-06-05,1,115580,29,16,45,14,8,22
2025-06-06,1,137450,32,17,49,15,8,23
2025-06-07,1,154940,33,17,50,13,7,20
2025-06-08,0,0,0,0,0,0,0,0
2025-06-09,1,119170,30,17,47,15,8,23
2025-06-10,1,120060,30,17,47,15,8,23
2025-06-11,1,112000,28,16,44,14,8,22
2025-06-12,1,112900,28,16,44,14,8,22
2025-06-13,1,134270,31,17,48,14,8,22
2025-06-14,1,151390,32,16,48,13,6,19
2025-06-15,0,0,0,0,0,0,0,0
2025-06-16,1,116480,29,16,45,14,8,22
2025-06-17,1,117380,29,16,45,14,8,22
2025-06-18,1,118270,30,17,47,15,8,23
2025-06-19,1,119170,30,17,47,15,8,23
2025-06-20,1,141680,33,18,51,15,8,23
2025-06-21,1,147840,32,16,48,13,6,19
2025-06-22,0,0,0,0,0,0,0,0
2025-06-23,1,113790,28,16,44,14,8,22
2025-06-24,1,114690,29,16,45,14,8,22
2025-06-25,1,115580,29,16,45,14,8,22
2025-06-26,1,116480,29,16,45,14,8,22
2025-06-27,1,138500,32,18,50,15,8,23
2025-06-28,1,156120,33,17,50,13,7,20
2025-06-29,0,0,0,0,0,0,0,0
2025-06-30,1,120060,30,17,47,15,8,23
2025-07-01,1,116000,29,16,45,14,8,22
2025-07-02,1,116930,29,16,45,14,8,22
2025-07-03,1,117860,29,16,45,14,8,22
2025-07-04,1,140170,32,18,50,15,8,23
2025-07-05,1,158020,34,17,51,14,7,21
2025-07-06,0,0,0,0,0,0,0,0
2025-07-07,1,121570,30,17,47,15,8,23
2025-07-08,1,122500,31,17,48,16,8,24
2025-07-09,1,123420,31,17,48,16,8,24
2025-07-10,1,124350,31,17,48,16,8,24
2025-07-11,1,136880,32,17,49,15,8,23
2025-07-12,1,154340,33,17,50,13,7,20
2025-07-13,0,0,0,0,0,0,0,0
2025-07-14,1,118780,30,17,47,15,8,23
2025-07-15,1,119710,30,17,47,15,8,23
2025-07-16,1,120640,30,17,47,15,8,23
2025-07-17,1,121570,30,17,47,15,8,23
2025-07-18,1,144550,33,18,51,15,8,23
2025-07-19,1,162920,35,18,53,14,7,21
2025-07-20,0,0,0,0,0,0,0,0
2025-07-21,1,116000,29,16,45,14,8,22
2025-07-22,1,116930,29,16,45,14,8,22
2025-07-23,1,117860,29,16,45,14,8,22
2025-07-24,1,118780,30,17,47,15,8,23
2025-07-25,1,141260,33,18,51,15,8,23
2025-07-26,1,159240,34,17,51,14,7,21
2025-07-27,0,0,0,0,0,0,0,0
2025-07-28,1,122500,31,17,48,16,8,24
2025-07-29,1,123420,31,17,48,16,8,24
2025-07-30,1,124350,31,17,48,16,8,24
2025-07-31,1,116000,29,16,45,14,8,22
2025-08-01,1,134520,31,17,48,14,8,22
2025-08-02,1,151680,32,16,48,13,6,19
2025-08-03,0,0,0,0,0,0,0,0
2025-08-04,1,116740,29,16,45,14,8,22
2025-08-05,1,117650,29,16,45,14,8,22
2025-08-06,1,118560,30,17,47,15,8,23
2025-08-07,1,119470,30,17,47,15,8,23
2025-08-08,1,142050,33,18,51,15,8,23
2025-08-09,1,160110,34,17,51,14,7,21
2025-08-10,0,0,0,0,0,0,0,0
2025-08-11,1,114000,28,16,44,14,8,22
2025-08-12,1,114910,29,16,45,14,8,22
2025-08-13,1,115820,29,16,45,14,8,22
2025-08-14,1,116740,29,16,45,14,8,22
2025-08-15,1,138820,32,18,50,15,8,23
2025-08-16,1,156500,34,17,51,14,7,21
2025-08-17,0,0,0,0,0,0,0,0
2025-08-18,0,0,0,0,0,0,0,0
2025-08-19,0,0,0,0,0,0,0,0
2025-08-20,0,0,0,0,0,0,0,0
2025-08-21,0,0,0,0,0,0,0,0
2025-08-22,0,0,0,0,0,0,0,0
2025-08-23,0,0,0,0,0,0,0,0
2025-08-24,0,0,0,0,0,0,0,0
2025-08-25,1,117650,29,16,45,14,8,22
2025-08-26,1,118560,30,17,47,15,8,23
2025-08-27,1,119470,30,17,47,15,8,23
2025-08-28,1,120380,30,17,47,15,8,23
2025-08-29,1,143130,33,18,51,15,8,23
2025-08-30,1,161310,35,17,52,14,7,21
2025-08-31,0,0,0,0,0,0,0,0
2025-09-01,1,108000,27,15,42,14,8,22
2025-09-02,1,108860,27,15,42,14,8,22
2025-09-03,1,109730,27,15,42,14,8,22
2025-09-04,1,110590,28,15,43,14,8,22
2025-09-05,1,131520,30,17,47,14,8,22
2025-09-06,1,148260,32,16,48,13,6,19
2025-09-07,0,0,0,0,0,0,0,0
2025-09-08,1,114050,29,16,45,14,8,22
2025-09-09,1,114910,29,16,45,14,8,22
2025-09-10,1,115780,29,16,45,14,8,22
2025-09-11,1,108000,27,15,42,14,8,22
2025-09-12,1,128460,30,16,46,14,7,21
2025-09-13,1,144840,31,16,47,12,6,18
2025-09-14,0,0,0,0,0,0,0,0
2025-09-15,1,111460,28,16,44,14,8,22
2025-09-16,1,112320,28,16,44,14,8,22
2025-09-17,1,113180,28,16,44,14,8,22
2025-09-18,1,114050,29,16,45,14,8,22
2025-09-19,1,135600,31,17,48,14,8,22
2025-09-20,1,152820,33,16,49,13,6,19
2025-09-21,0,0,0,0,0,0,0,0
2025-09-22,1,108860,27,15,42,14,8,22
2025-09-23,1,109730,27,15,42,14,8,22
2025-09-24,1,110590,28,15,43,14,8,22
2025-09-25,1,111460,28,16,44,14,8,22
2025-09-26,1,132540,31,17,48,14,8,22
2025-09-27,1,149400,32,16,48,13,6,19
2025-09-28,0,0,0,0,0,0,0,0
2025-09-29,1,114910,29,16,45,14,8,22
2025-09-30,1,115780,29,16,45,14,8,22
2025-10-01,1,110000,28,15,43,14,8,22
2025-10-02,1,110880,28,16,44,14,8,22
2025-10-03,1,131880,30,17,47,14,8,22
2025-10-04,1,148680,32,16,48,13,6,19
2025-10-05,0,0,0,0,0,0,0,0
2025-10-06,1,114400,29,16,45,14,8,22
2025-10-07,1,115280,29,16,45,14,8,22
2025-10-08,1,116160,29,16,45,14,8,22
2025-10-09,1,117040,29,16,45,14,8,22
2025-10-10,1,139150,32,18,50,15,8,23
2025-10-11,1,145200,31,16,47,12,6,18
2025-10-12,0,0,0,0,0,0,0,0
2025-10-13,1,111760,28,16,44,14,8,22
2025-10-14,1,112640,28,16,44,14,8,22
2025-10-15,1,113520,28,16,44,14,8,22
2025-10-16,1,114400,29,16,45,14,8,22
2025-10-17,1,136030,31,17,48,14,8,22
2025-10-18,1,153330,33,17,50,13,7,20
2025-10-19,0,0,0,0,0,0,0,0
2025-10-20,1,117920,29,17,46,14,8,22
2025-10-21,1,110000,28,15,43,14,8,22
2025-10-22,1,110880,28,16,44,14,8,22
2025-10-23,1,111760,28,16,44,14,8,22
2025-10-24,1,132920,31,17,48,14,8,22
2025-10-25,1,149850,32,16,48,13,6,19
2025-10-26,0,0,0,0,0,0,0,0
2025-10-27,1,115280,29,16,45,14,8,22
2025-10-28,1,116160,29,16,45,14,8,22
2025-10-29,1,117040,29,16,45,14,8,22
2025-10-30,1,117920,29,17,46,14,8,22
2025-10-31,1,129800,30,17,47,14,8,22
2025-11-01,1,147840,32,16,48,13,6,19
2025-11-02,0,0,0,0,0,0,0,0
2025-11-03,1,113790,28,16,44,14,8,22
2025-11-04,1,114690,29,16,45,14,8,22
2025-11-05,1,115580,29,16,45,14,8,22
2025-11-06,1,116480,29,16,45,14,8,22
2025-11-07,1,138500,32,18,50,15,8,23
2025-11-08,1,156120,33,17,50,13,7,20
2025-11-09,0,0,0,0,0,0,0,0
2025-11-10,1,120060,30,17,47,15,8,23
2025-11-11,1,112000,28,16,44,14,8,22
2025-11-12,1,112900,28,16,44,14,8,22
2025-11-13,1,113790,28,16,44,14,8,22
2025-11-14,1,135330,31,17,48,14,8,22
2025-11-15,1,152570,33,16,49,13,6,19
2025-11-16,0,0,0,0,0,0,0,0
2025-11-17,1,117380,29,16,45,14,8,22
2025-11-18,1,118270,30,17,47,15,8,23
2025-11-19,1,119170,30,17,47,15,8,23
2025-11-20,1,120060,30,17,47,15,8,23
2025-11-21,1,132160,30,17,47,14,8,22
2025-11-22,1,149020,32,16,48,13,6,19
2025-11-23,0,0,0,0,0,0,0,0
2025-11-24,1,114690,29,16,45,14,8,22
2025-11-25,1,115580,29,16,45,14,8,22
2025-11-26,1,116480,29,16,45,14,8,22
2025-11-27,1,117380,29,16,45,14,8,22
2025-11-28,1,139560,32,18,50,15,8,23
2025-11-29,1,157300,34,17,51,14,7,21
2025-11-30,0,0,0,0,0,0,0,0
2025-12-01,1,128000,32,18,50,16,9,25
2025-12-02,1,129020,32,18,50,16,9,25
2025-12-03,1,130050,33,18,51,16,9,25
2025-12-04,1,131070,33,18,51,16,9,25
2025-12-05,1,155870,36,20,56,16,9,25
2025-12-06,1,175720,38,19,57,15,8,23
2025-12-07,0,0,0,0,0,0,0,0
2025-12-08,1,135170,34,19,53,17,10,27
2025-12-09,1,136190,34,19,53,17,10,27
2025-12-10,1,137220,34,19,53,17,10,27
2025-12-11,1,128000,32,18,50,16,9,25
2025-12-12,1,152250,35,19,54,16,9,25
2025-12-13,1,171660,37,18,55,15,7,22
2025-12-14,0,0,0,0,0,0,0,0
2025-12-15,1,132100,33,18,51,16,9,25
2025-12-16,1,133120,33,19,52,16,10,26
2025-12-17,1,134140,34,19,53,17,10,27
2025-12-18,1,135170,34,19,53,17,10,27
2025-12-19,1,160710,37,20,57,17,9,26
2025-12-20,1,181130,39,20,59,16,8,24
2025-12-21,0,0,0,0,0,0,0,0
2025-12-22,1,129020,32,18,50,16,9,25
2025-12-23,1,130050,33,18,51,16,9,25
2025-12-24,1,131070,33,18,51,16,9,25
2025-12-25,1,132100,33,18,51,16,9,25
2025-12-26,1,157080,36,20,56,16,9,25
2025-12-27,1,177070,38,19,57,15,8,23
2025-12-28,0,0,0,0,0,0,0,0
2025-12-29,0,0,0,0,0,0,0,0
2025-12-30,0,0,0,0,0,0,0,0
2025-12-31,0,0,0,0,0,0,0,0
