年月日,営業日|店休日,日次売上,ランチ客数,ディナー客数,トータル客数,ランチ組数,ディナー組数,トータル組数
2024-03-03,0,0,0,0,0,0,0,0
2024-03-04,1,81920,20,11,31,10,6,16
2024-03-05,1,82560,21,12,33,10,6,16
2024-03-06,1,83200,21,12,33,10,6,16
2024-03-07,1,83840,21,12,33,10,6,16
2024-03-08,1,99690,23,13,36,10,6,16
2024-03-09,1,112360,24,12,36,10,5,15
2024-03-10,0,0,0,0,0,0,0,0
2024-03-11,1,80000,20,11,31,10,6,16
2024-03-12,1,80640,20,11,31,10,6,16
2024-03-13,1,81280,20,11,31,10,6,16
2024-03-14,1,81920,20,11,31,10,6,16
2024-03-15,1,97420,22,12,34,10,5,15
2024-03-16,1,109820,24,12,36,10,5,15
2024-03-17,0,0,0,0,0,0,0,0
2024-03-18,1,84480,21,12,33,10,6,16
2024-03-19,1,85120,21,12,33,10,6,16
2024-03-20,1,85760,21,12,33,10,6,16
2024-03-21,1,80000,20,11,31,10,6,16
2024-03-22,1,95160,22,12,34,10,5,15
2024-03-23,1,107290,23,12,35,9,5,14
2024-03-24,0,0,0,0,0,0,0,0
2024-03-25,1,82560,21,12,33,10,6,16
2024-03-26,1,83200,21,12,33,10,6,16
2024-03-27,1,83840,21,12,33,10,6,16
2024-03-28,1,84480,21,12,33,10,6,16
2024-03-29,1,100440,23,13,36,10,6,16
2024-03-30,1,113200,24,12,36,10,5,15
2024-03-31,0,0,0,0,0,0,0,0
2024-04-01,1,81600,20,11,31,10,6,16
2024-04-02,1,82250,21,12,33,10,6,16
2024-04-03,1,82910,21,12,33,10,6,16
2024-04-04,1,83560,21,12,33,10,6,16
2024-04-05,1,99370,23,13,36,10,6,16
2024-04-06,1,112020,24,12,36,10,5,15
2024-04-07,0,0,0,0,0,0,0,0
2024-04-08,1,86170,22,12,34,11,6,17
2024-04-09,1,86820,22,12,34,11,6,17
2024-04-10,1,87480,22,12,34,11,6,17
2024-04-11,1,81600,20,11,31,10,6,16
2024-04-12,1,97060,22,12,34,10,5,15
2024-04-13,1,109440,23,12,35,9,5,14
2024-04-14,0,0,0,0,0,0,0,0
2024-04-15,1,84210,21,12,33,10,6,16
2024-04-16,1,84860,21,12,33,10,6,16
2024-04-17,1,85520,21,12,33,10,6,16
2024-04-18,1,86170,22,12,34,11,6,17
2024-04-19,1,102450,24,13,37,11,6,17
2024-04-20,1,115470,25,12,37,10,5,15
2024-04-21,0,0,0,0,0,0,0,0
2024-04-22,1,82250,21,12,33,10,6,16
2024-04-23,1,82910,21,12,33,10,6,16
2024-04-24,1,83560,21,12,33,10,6,16
2024-04-25,1,84210,21,12,33,10,6,16
2024-04-26,1,100140,23,13,36,10,6,16
2024-04-27,1,112880,24,12,36,10,5,15
2024-04-28,0,0,0,0,0,0,0,0
2024-04-29,1,86820,22,12,34,11,6,17
2024-04-30,1,87480,22,12,34,11,6,17
2024-05-01,1,83200,21,12,33,10,6,16
2024-05-02,1,83870,21,12,33,10,6,16
2024-05-03,1,99750,23,13,36,10,6,16
2024-05-04,1,112460,24,12,36,10,5,15
2024-05-05,0,0,0,0,0,0,0,0
2024-05-06,1,86530,22,12,34,11,6,17
2024-05-07,1,87190,22,12,34,11,6,17
2024-05-08,1,87860,22,12,34,11,6,17
2024-05-09,1,88520,22,12,34,11,6,17
2024-05-10,1,105240,24,13,37,11,6,17
2024-05-11,1,109820,24,12,36,10,5,15
2024-05-12,0,0,0,0,0,0,0,0
2024-05-13,1,84530,21,12,33,10,6,16
2024-05-14,1,85200,21,12,33,10,6,16
2024-05-15,1,85860,21,12,33,10,6,16
2024-05-16,1,86530,22,12,34,11,6,17
2024-05-17,1,102890,24,13,37,11,6,17
2024-05-18,1,115970,25,12,37,10,5,15
2024-05-19,0,0,0,0,0,0,0,0
2024-05-20,1,89190,22,12,34,11,6,17
2024-05-21,1,83200,21,12,33,10,6,16
2024-05-22,1,83870,21,12,33,10,6,16
2024-05-23,1,84530,21,12,33,10,6,16
2024-05-24,1,100530,23,13,36,10,6,16
2024-05-25,1,113340,24,12,36,10,5,15
2024-05-26,0,0,0,0,0,0,0,0
2024-05-27,1,87190,22,12,34,11,6,17
2024-05-28,1,87860,22,12,34,11,6,17
2024-05-29,1,88520,22,12,34,11,6,17
2024-05-30,1,89190,22,12,34,11,6,17
2024-05-31,1,98180,23,12,35,10,5,15
2024-06-01,1,118270,25,13,38,10,5,15
2024-06-02,0,0,0,0,0,0,0,0
2024-06-03,1,91030,23,13,36,12,6,18
2024-06-04,1,91750,23,13,36,12,6,18
2024-06-05,1,92470,23,13,36,12,6,18
2024-06-06,1,93180,23,13,36,12,6,18
2024-06-07,1,110800,26,14,40,12,6,18
2024-06-08,1,124900,27,13,40,11,5,16
2024-06-09,0,0,0,0,0,0,0,0
2024-06-10,1,96050,24,13,37,12,6,18
2024-06-11,1,89600,22,13,35,11,6,17
2024-06-12,1,90320,23,13,36,12,6,18
2024-06-13,1,91030,23,13,36,12,6,18
2024-06-14,1,108270,25,14,39,11,6,17
2024-06-15,1,122060,26,13,39,10,5,15
2024-06-16,0,0,0,0,0,0,0,0
2024-06-17,1,93900,23,13,36,12,6,18
2024-06-18,1,94620,24,13,37,12,6,18
2024-06-19,1,95330,24,13,37,12,6,18
2024-06-20,1,96050,24,13,37,12,6,18
2024-06-21,1,105730,24,13,37,11,6,17
2024-06-22,1,119220,26,13,39,10,5,15
2024-06-23,0,0,0,0,0,0,0,0
2024-06-24,1,91750,23,13,36,12,6,18
2024-06-25,1,92470,23,13,36,12,6,18
2024-06-26,1,93180,23,13,36,12,6,18
2024-06-27,1,93900,23,13,36,12,6,18
2024-06-28,1,111650,26,14,40,12,6,18
2024-06-29,1,125840,27,14,41,11,6,17
2024-06-30,0,0,0,0,0,0,0,0
2024-07-01,1,92800,23,13,36,12,6,18
2024-07-02,1,93540,23,13,36,12,6,18
2024-07-03,1,94280,24,13,37,12,6,18
2024-07-04,1,95030,24,13,37,12,6,18
2024-07-05,1,113010,26,14,40,12,6,18
2024-07-06,1,127400,27,14,41,11,6,17
2024-07-07,0,0,0,0,0,0,0,0
2024-07-08,1,98000,24,14,38,12,7,19
2024-07-09,1,98740,25,14,39,12,7,19
2024-07-10,1,99480,25,14,39,12,7,19
2024-07-11,1,92800,23,13,36,12,6,18
2024-07-12,1,110380,25,14,39,11,6,17
2024-07-13,1,124460,27,13,40,11,5,16
2024-07-14,0,0,0,0,0,0,0,0
2024-07-15,1,95770,24,13,37,12,6,18
2024-07-16,1,96510,24,14,38,12,7,19
2024-07-17,1,97250,24,14,38,12,7,19
2024-07-18,1,98000,24,14,38,12,7,19
2024-07-19,1,116510,27,15,42,12,7,19
2024-07-20,1,131320,28,14,42,11,6,17
2024-07-21,0,0,0,0,0,0,0,0
2024-07-22,1,93540,23,13,36,12,6,18
2024-07-23,1,94280,24,13,37,12,6,18
2024-07-24,1,95030,24,13,37,12,6,18
2024-07-25,1,95770,24,13,37,12,6,18
2024-07-26,1,113880,26,14,40,12,6,18
2024-07-27,1,128380,28,14,42,11,6,17
2024-07-28,0,0,0,0,0,0,0,0
2024-07-29,1,98740,25,14,39,12,7,19
2024-07-30,1,99480,25,14,39,12,7,19
2024-07-31,1,92800,23,13,36,12,6,18
2024-08-01,1,91200,23,13,36,12,6,18
2024-08-02,1,108480,25,14,39,11,6,17
2024-08-03,1,122310,26,13,39,10,5,15
2024-08-04,0,0,0,0,0,0,0,0
2024-08-05,1,94120,24,13,37,12,6,18
2024-08-06,1,94850,24,13,37,12,6,18
2024-08-07,1,95580,24,13,37,12,6,18
2024-08-08,1,96310,24,13,37,12,6,18
2024-08-09,1,114500,26,15,41,12,7,19
2024-08-10,1,129050,28,14,42,11,6,17
2024-08-11,0,0,0,0,0,0,0,0
2024-08-12,1,91930,23,13,36,12,6,18
2024-08-13,1,92660,23,13,36,12,6,18
2024-08-14,1,93390,23,13,36,12,6,18
2024-08-15,1,94120,24,13,37,12,6,18
2024-08-16,1,111920,26,14,40,12,6,18
2024-08-17,1,126160,27,14,41,11,6,17
2024-08-18,0,0,0,0,0,0,0,0
2024-08-19,0,0,0,0,0,0,0,0
2024-08-20,0,0,0,0,0,0,0,0
2024-08-21,0,0,0,0,0,0,0,0
2024-08-22,0,0,0,0,0,0,0,0
2024-08-23,0,0,0,0,0,0,0,0
2024-08-24,0,0,0,0,0,0,0,0
2024-08-25,0,0,0,0,0,0,0,0
2024-08-26,1,94850,24,13,37,12,6,18
2024-08-27,1,95580,24,13,37,12,6,18
2024-08-28,1,96310,24,13,37,12,6,18
2024-08-29,1,97040,24,14,38,12,7,19
2024-08-30,1,115360,27,15,42,12,7,19
2024-08-31,1,120380,26,13,39,10,5,15
2024-09-01,0,0,0,0,0,0,0,0
2024-09-02,1,87090,22,12,34,11,6,17
2024-09-03,1,87780,22,12,34,11,6,17
2024-09-04,1,88470,22,12,34,11,6,17
2024-09-05,1,89160,22,12,34,11,6,17
2024-09-06,1,106030,24,13,37,11,6,17
2024-09-07,1,119520,26,13,39,10,5,15
2024-09-08,0,0,0,0,0,0,0,0
2024-09-09,1,91930,23,13,36,12,6,18
2024-09-10,1,92620,23,13,36,12,6,18
2024-09-11,1,86400,22,12,34,11,6,17
2024-09-12,1,87090,22,12,34,11,6,17
2024-09-13,1,103580,24,13,37,11,6,17
2024-09-14,1,116790,25,13,38,10,5,15
2024-09-15,0,0,0,0,0,0,0,0
2024-09-16,1,89860,22,13,35,11,6,17
2024-09-17,1,90550,23,13,36,12,6,18
2024-09-18,1,91240,23,13,36,12,6,18
2024-09-19,1,91930,23,13,36,12,6,18
2024-09-20,1,109290,25,14,39,11,6,17
2024-09-21,1,114050,24,12,36,10,5,15
2024-09-22,0,0,0,0,0,0,0,0
2024-09-23,1,87780,22,12,34,11,6,17
2024-09-24,1,88470,22,12,34,11,6,17
2024-09-25,1,89160,22,12,34,11,6,17
2024-09-26,1,89860,22,13,35,11,6,17
2024-09-27,1,106850,25,14,39,11,6,17
2024-09-28,1,120430,26,13,39,10,5,15
2024-09-29,0,0,0,0,0,0,0,0
2024-09-30,1,92620,23,13,36,12,6,18
2024-10-01,1,88000,22,12,34,11,6,17
2024-10-02,1,88700,22,12,34,11,6,17
2024-10-03,1,89410,22,13,35,11,6,17
2024-10-04,1,106330,25,14,39,11,6,17
2024-10-05,1,119880,26,13,39,10,5,15
2024-10-06,0,0,0,0,0,0,0,0
2024-10-07,1,92220,23,13,36,12,6,18
2024-10-08,1,92930,23,13,36,12,6,18
2024-10-09,1,93630,23,13,36,12,6,18
2024-10-10,1,94340,24,13,37,12,6,18
2024-10-11,1,103840,24,13,37,11,6,17
2024-10-12,1,117090,25,13,38,10,5,15
2024-10-13,0,0,0,0,0,0,0,0
2024-10-14,1,90110,23,13,36,12,6,18
2024-10-15,1,90820,23,13,36,12,6,18
2024-10-16,1,91520,23,13,36,12,6,18
2024-10-17,1,92220,23,13,36,12,6,18
2024-10-18,1,109660,25,14,39,11,6,17
2024-10-19,1,123590,26,13,39,10,5,15
2024-10-20,0,0,0,0,0,0,0,0
2024-10-21,1,88000,22,12,34,11,6,17
2024-10-22,1,88700,22,12,34,11,6,17
2024-10-23,1,89410,22,13,35,11,6,17
2024-10-24,1,90110,23,13,36,12,6,18
2024-10-25,1,107160,25,14,39,11,6,17
2024-10-26,1,120810,26,13,39,10,5,15
2024-10-27,0,0,0,0,0,0,0,0
2024-10-28,1,92930,23,13,36,12,6,18
2024-10-29,1,93630,23,13,36,12,6,18
2024-10-30,1,94340,24,13,37,12,6,18
2024-10-31,1,88000,22,12,34,11,6,17
2024-11-01,1,105730,24,13,37,11,6,17
2024-11-02,1,119220,26,13,39,10,5,15
2024-11-03,0,0,0,0,0,0,0,0
2024-11-04,1,91750,23,13,36,12,6,18
2024-11-05,1,92470,23,13,36,12,6,18
2024-11-06,1,93180,23,13,36,12,6,18
2024-11-07,1,93900,23,13,36,12,6,18
2024-11-08,1,111650,26,14,40,12,6,18
2024-11-09,1,125840,27,14,41,11,6,17
2024-11-10,0,0,0,0,0,0,0,0
2024-11-11,1,89600,22,13,35,11,6,17
2024-11-12,1,90320,23,13,36,12,6,18
2024-11-13,1,91030,23,13,36,12,6,18
2024-11-14,1,91750,23,13,36,12,6,18
2024-11-15,1,109110,25,14,39,11,6,17
2024-11-16,1,123000,26,13,39,10,5,15
2024-11-17,0,0,0,0,0,0,0,0
2024-11-18,1,94620,24,13,37,12,6,18
2024-11-19,1,95330,24,13,37,12,6,18
2024-11-20,1,96050,24,13,37,12,6,18
2024-11-21,1,89600,22,13,35,11,6,17
2024-11-22,1,106570,25,14,39,11,6,17
2024-11-23,1,120160,26,13,39,10,5,15
2024-11-24,0,0,0,0,0,0,0,0
2024-11-25,1,92470,23,13,36,12,6,18
2024-11-26,1,93180,23,13,36,12,6,18
2024-11-27,1,93900,23,13,36,12,6,18
2024-11-28,1,94620,24,13,37,12,6,18
2024-11-29,1,112490,26,14,40,12,6,18
2024-11-30,1,126790,27,14,41,11,6,17
2024-12-01,0,0,0,0,0,0,0,0
2024-12-02,1,103220,26,14,40,13,7,20
2024-12-03,1,104040,26,15,41,13,8,21
2024-12-04,1,104860,26,15,41,13,8,21
2024-12-05,1,105680,26,15,41,13,8,21
2024-12-06,1,125670,29,16,45,13,7,20
2024-12-07,1,141660,30,15,45,12,6,18
2024-12-08,0,0,0,0,0,0,0,0
2024-12-09,1,108950,27,15,42,14,8,22
2024-12-10,1,109770,27,15,42,14,8,22
2024-12-11,1,102400,26,14,40,13,7,20
2024-12-12,1,103220,26,14,40,13,7,20
2024-12-13,1,122770,28,16,44,13,7,20
2024-12-14,1,138410,30,15,45,12,6,18
2024-12-15,0,0,0,0,0,0,0,0
2024-12-16,1,106500,27,15,42,14,8,22
2024-12-17,1,107320,27,15,42,14,8,22
2024-12-18,1,108130,27,15,42,14,8,22
2024-12-19,1,108950,27,15,42,14,8,22
2024-12-20,1,129530,30,16,46,14,7,21
2024-12-21,1,135170,29,15,44,12,6,18
2024-12-22,0,0,0,0,0,0,0,0
2024-12-23,1,104040,26,15,41,13,8,21
2024-12-24,1,104860,26,15,41,13,8,21
2024-12-25,1,105680,26,15,41,13,8,21
2024-12-26,1,106500,27,15,42,14,8,22
2024-12-27,1,126630,29,16,45,13,7,20
2024-12-28,1,142740,31,15,46,12,6,18
2024-12-29,0,0,0,0,0,0,0,0
2024-12-30,0,0,0,0,0,0,0,0
2024-12-31,0,0,0,0,0,0,0,0
