date,business_day,daily_sales,lunch_sales,dinner_sales,total_customers,lunch_customers,dinner_customers,total_groups,lunch_groups,dinner_groups,food_sales,drink_sales
2024-06-09,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-10,1,98320,43261,55059,24,11,13,11,5,6,69807,28513
2024-06-11,1,104690,45017,59673,27,12,15,12,5,7,73283,31407
2024-06-12,1,107320,46148,61172,26,11,15,11,5,6,75124,32196
2024-06-13,1,112580,47284,65296,27,11,16,11,5,6,77680,34900
2024-06-14,1,128820,46375,82445,33,12,21,16,6,10,86309,42511
2024-06-15,1,139520,44646,94874,34,11,23,14,4,10,92083,47437
2024-06-16,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-17,1,100830,44365,56465,25,11,14,12,5,7,71589,29241
2024-06-18,1,101840,43791,58049,24,10,14,10,4,6,71288,30552
2024-06-19,1,109310,47003,62307,29,12,17,12,5,7,76517,32793
2024-06-20,1,110400,46368,64032,26,11,15,12,5,7,76176,34224
2024-06-21,1,123860,44590,79270,29,10,19,13,5,8,82986,40874
2024-06-22,1,138900,44448,94452,36,12,24,15,5,10,91674,47226
2024-06-23,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-24,1,100140,44062,56078,27,12,15,11,5,6,71099,29041
2024-06-25,1,106380,45743,60637,27,12,15,11,5,6,74466,31914
2024-06-26,1,108670,46728,61942,30,13,17,12,5,7,76069,32601
2024-06-27,1,114100,47922,66178,30,13,17,12,5,7,78729,35371
2024-06-28,1,123680,44525,79155,33,12,21,14,5,9,82866,40814
2024-06-29,1,136690,43741,92949,34,11,23,14,4,10,90215,46475
2024-06-30,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-01,1,111170,48915,62255,30,13,17,13,6,7,78931,32239
2024-07-02,1,120310,51733,68577,29,12,17,12,5,7,84217,36093
2024-07-03,1,124330,53462,70868,34,15,19,15,6,9,87031,37299
2024-07-04,1,126360,53071,73289,32,13,19,15,6,9,87188,39172
2024-07-05,1,138490,49856,88634,32,12,20,16,6,10,92788,45702
2024-07-06,1,151030,48330,102700,35,11,24,14,4,10,99680,51350
2024-07-07,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-08,1,110170,48475,61695,28,12,16,12,5,7,78221,31949
2024-07-09,1,120530,51828,68702,28,12,16,12,5,7,84371,36159
2024-07-10,1,121110,52077,69033,33,14,19,13,6,7,84777,36333
2024-07-11,1,125810,52840,72970,34,14,20,15,6,9,86809,39001
2024-07-12,1,141550,50958,90592,33,12,21,15,5,10,94838,46712
2024-07-13,1,158670,50774,107896,42,13,29,17,5,12,104722,53948
2024-07-14,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-15,1,113770,50059,63711,29,13,16,14,6,8,80777,32993
2024-07-16,1,120040,51617,68423,30,13,17,13,6,7,84028,36012
2024-07-17,1,117500,50525,66975,27,12,15,11,5,6,82250,35250
2024-07-18,1,128180,53836,74344,31,13,18,13,5,8,88444,39736
2024-07-19,1,146780,52841,93939,37,13,24,14,5,9,98343,48437
2024-07-20,1,157000,50240,106760,41,13,28,16,5,11,103620,53380
2024-07-21,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-22,1,115370,50763,64607,30,13,17,13,6,7,81913,33457
2024-07-23,1,116040,49897,66143,27,12,15,12,5,7,81228,34812
2024-07-24,1,122760,52787,69973,33,14,19,14,6,8,85932,36828
2024-07-25,1,126690,53210,73480,31,13,18,13,5,8,87416,39274
2024-07-26,1,140260,50494,89766,34,12,22,16,6,10,93974,46286
2024-07-27,1,157500,50400,107100,40,13,27,16,5,11,103950,53550
2024-07-28,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-29,1,113180,49799,63381,30,13,17,13,6,7,80358,32822
2024-07-30,1,116690,50177,66513,29,12,17,11,5,6,81683,35007
2024-07-31,1,118810,51088,67722,28,12,16,13,6,7,83167,35643
2024-08-01,1,126170,52991,73179,29,12,17,12,5,7,87057,39113
2024-08-02,1,147310,53032,94278,36,13,23,16,6,10,98698,48612
2024-08-03,1,154770,49526,105244,40,13,27,18,6,12,102148,52622
2024-08-04,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-05,1,117370,51643,65727,28,12,16,11,5,6,83333,34037
2024-08-06,1,116150,49944,66206,27,12,15,13,6,7,81305,34845
2024-08-07,1,122640,52735,69905,31,13,18,14,6,8,85848,36792
2024-08-08,1,129250,54285,74965,30,13,17,15,6,9,89182,40068
2024-08-09,1,143050,51498,91552,33,12,21,13,5,8,95844,47206
2024-08-10,1,162470,51990,110480,41,13,28,18,6,12,107230,55240
2024-08-11,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12,1,114590,50420,64170,32,14,18,14,6,8,81359,33231
2024-08-13,1,118510,50959,67551,29,12,17,13,6,7,82957,35553
2024-08-14,1,123740,53208,70532,30,13,17,12,5,7,86618,37122
2024-08-15,1,124450,52269,72181,31,13,18,12,5,7,85870,38580
2024-08-16,1,146390,52700,93690,38,14,24,17,6,11,98081,48309
2024-08-17,1,157900,50528,107372,41,13,28,19,6,13,104214,53686
2024-08-18,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-19,1,112690,49584,63106,29,13,16,12,5,7,80010,32680
2024-08-20,1,117730,50624,67106,30,13,17,14,6,8,82411,35319
2024-08-21,1,125450,53944,71506,29,12,17,14,6,8,87815,37635
2024-08-22,1,129210,54268,74942,31,13,18,14,6,8,89155,40055
2024-08-23,1,147350,53046,94304,35,13,22,17,6,11,98724,48626
2024-08-24,1,160610,51395,109215,39,12,27,16,5,11,106003,54607
2024-08-25,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-26,1,113570,49971,63599,29,13,16,12,5,7,80635,32935
2024-08-27,1,120680,51892,68788,33,14,19,13,6,7,84476,36204
2024-08-28,1,121650,52310,69340,32,14,18,15,6,9,85155,36495
2024-08-29,1,125860,52861,72999,30,13,17,13,5,8,86843,39017
2024-08-30,1,147190,52988,94202,40,14,26,20,7,13,98617,48573
2024-08-31,1,154990,49597,105393,39,12,27,16,5,11,102293,52697
2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-02,1,76450,33638,42812,18,8,10,8,4,4,54280,22170
2024-09-03,1,75660,32534,43126,20,9,11,8,3,5,52962,22698
2024-09-04,1,103950,44698,59252,27,12,15,11,5,6,72765,31185
2024-09-05,1,107010,44944,62066,27,11,16,12,5,7,73837,33173
2024-09-06,1,124780,44921,79859,29,10,19,13,5,8,83603,41177
2024-09-07,1,132920,42534,90386,31,10,21,13,4,9,87727,45193
2024-09-08,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-09,1,75630,33277,42353,18,8,10,8,4,4,53697,21933
2024-09-10,1,78630,33811,44819,19,8,11,8,3,5,55041,23589
2024-09-11,1,104520,44944,59576,27,12,15,11,5,6,73164,31356
2024-09-12,1,106290,44642,61648,26,11,15,10,4,6,73340,32950
2024-09-13,1,119380,42977,76403,29,10,19,14,5,9,79985,39395
2024-09-14,1,134950,43184,91766,31,10,21,14,4,10,89067,45883
2024-09-15,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-16,1,76080,33475,42605,18,8,10,8,4,4,54017,22063
2024-09-17,1,99720,42880,56840,27,12,15,13,6,7,69804,29916
2024-09-18,1,103780,44625,59155,24,10,14,11,5,6,72646,31134
2024-09-19,1,105230,44197,61033,29,12,17,12,5,7,72609,32621
2024-09-20,1,124130,44687,79443,31,11,20,12,4,8,83167,40963
2024-09-21,1,131500,42080,89420,36,12,24,14,4,10,86790,44710
2024-09-22,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-23,1,94110,41408,52702,25,11,14,11,5,6,66818,27292
2024-09-24,1,98940,42544,56396,24,10,14,11,5,6,69258,29682
2024-09-25,1,103970,44707,59263,25,11,14,11,5,6,72779,31191
2024-09-26,1,105620,44360,61260,27,11,16,13,5,8,72878,32742
2024-09-27,1,123740,44546,79194,30,11,19,13,5,8,82906,40834
2024-09-28,1,131680,42138,89542,35,11,24,14,4,10,86909,44771
2024-09-29,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-30,1,96970,42667,54303,26,11,15,12,5,7,68849,28121
2024-10-01,1,116110,49927,66183,30,13,17,13,6,7,81277,34833
2024-10-02,1,116900,50267,66633,30,13,17,13,6,7,81830,35070
2024-10-03,1,122610,51496,71114,33,14,19,16,7,9,84601,38009
2024-10-04,1,135190,48668,86522,34,12,22,16,6,10,90577,44613
2024-10-05,1,149140,47725,101415,37,12,25,15,5,10,98432,50708
2024-10-06,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-07,1,110060,48426,61634,27,12,15,13,6,7,78143,31917
2024-10-08,1,110100,47343,62757,25,11,14,12,5,7,77070,33030
2024-10-09,1,117970,50727,67243,28,12,16,12,5,7,82579,35391
2024-10-10,1,120260,50509,69751,32,13,19,14,6,8,82979,37281
2024-10-11,1,139960,50386,89574,37,13,24,17,6,11,93773,46187
2024-10-12,1,146540,46893,99647,38,12,26,16,5,11,96716,49824
2024-10-13,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-14,1,110690,48704,61986,29,13,16,13,6,7,78590,32100
2024-10-15,1,109680,47162,62518,30,13,17,15,6,9,76776,32904
2024-10-16,1,114470,49222,65248,31,13,18,13,6,7,80129,34341
2024-10-17,1,118520,49778,68742,31,13,18,14,6,8,81779,36741
2024-10-18,1,134540,48434,86106,36,13,23,15,5,10,90142,44398
2024-10-19,1,148600,47552,101048,41,13,28,17,5,12,98076,50524
2024-10-20,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-21,1,107450,47278,60172,30,13,17,12,5,7,76290,31160
2024-10-22,1,111560,47971,63589,29,12,17,13,6,7,78092,33468
2024-10-23,1,117450,50504,66946,29,12,17,12,5,7,82215,35235
2024-10-24,1,119940,50375,69565,31,13,18,13,5,8,82759,37181
2024-10-25,1,138850,49986,88864,32,12,20,13,5,8,93030,45820
2024-10-26,1,153040,48973,104067,37,12,25,15,5,10,101006,52034
2024-10-27,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-28,1,107430,47269,60161,26,11,15,11,5,6,76275,31155
2024-10-29,1,112340,48306,64034,30,13,17,12,5,7,78638,33702
2024-10-30,1,114500,49235,65265,28,12,16,13,6,7,80150,34350
2024-10-31,1,123490,51866,71624,32,13,19,15,6,9,85208,38282
2024-11-01,1,141170,50821,90349,37,13,24,15,5,10,94584,46586
2024-11-02,1,149820,47942,101878,36,12,24,16,5,11,98881,50939
2024-11-03,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-04,1,113330,49865,63465,28,12,16,14,6,8,80464,32866
2024-11-05,1,118350,50890,67460,32,14,18,14,6,8,82845,35505
2024-11-06,1,118950,51148,67802,27,12,15,12,5,7,83265,35685
2024-11-07,1,124390,52244,72146,31,13,18,14,6,8,85829,38561
2024-11-08,1,142970,51469,91501,37,13,24,17,6,11,95790,47180
2024-11-09,1,154840,49549,105291,38,12,26,15,5,10,102194,52646
2024-11-10,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-11,1,110940,48814,62126,29,13,16,14,6,8,78767,32173
2024-11-12,1,117400,50482,66918,29,12,17,14,6,8,82180,35220
2024-11-13,1,119590,51424,68166,31,13,18,15,6,9,83713,35877
2024-11-14,1,124640,52349,72291,31,13,18,13,5,8,86002,38638
2024-11-15,1,144250,51930,92320,39,14,25,17,6,11,96648,47602
2024-11-16,1,152560,48819,103741,37,12,25,15,5,10,100690,51870
2024-11-17,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-18,1,110120,48453,61667,27,12,15,13,6,7,78185,31935
2024-11-19,1,118280,50860,67420,28,12,16,11,5,6,82796,35484
2024-11-20,1,119530,51398,68132,27,12,15,12,5,7,83671,35859
2024-11-21,1,121540,51047,70493,31,13,18,15,6,9,83863,37677
2024-11-22,1,141120,50803,90317,34,12,22,14,5,9,94550,46570
2024-11-23,1,148300,47456,100844,40,13,27,20,6,14,97878,50422
2024-11-24,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-25,1,108760,47854,60906,26,11,15,13,6,7,77220,31540
2024-11-26,1,112330,48302,64028,29,12,17,13,6,7,78631,33699
2024-11-27,1,118500,50955,67545,30,13,17,15,6,9,82950,35550
2024-11-28,1,124750,52395,72355,30,13,17,13,5,8,86078,38672
2024-11-29,1,140140,50450,89690,35,13,22,16,6,10,93894,46246
2024-11-30,1,155360,49715,105645,41,13,28,20,6,14,102538,52822
2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-02,1,125750,55330,70420,34,15,19,16,7,9,89282,36468
2024-12-03,1,131940,56734,75206,30,13,17,12,5,7,92358,39582
2024-12-04,1,133520,57414,76106,34,15,19,14,6,8,93464,40056
2024-12-05,1,135470,56897,78573,37,16,21,18,8,10,93474,41996
2024-12-06,1,157220,56599,100621,40,14,26,19,7,12,105337,51883
2024-12-07,1,171280,54810,116470,44,14,30,21,7,14,113045,58235
2024-12-08,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-09,1,121780,53583,68197,33,15,18,13,6,7,86464,35316
2024-12-10,1,125600,54008,71592,31,13,18,12,5,7,87920,37680
2024-12-11,1,129600,55728,73872,33,14,19,14,6,8,90720,38880
2024-12-12,1,139180,58456,80724,37,16,21,16,7,9,96034,43146
2024-12-13,1,159260,57334,101926,40,14,26,17,6,11,106704,52556
2024-12-14,1,166280,53210,113070,44,14,30,19,6,13,109745,56535
2024-12-15,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-16,1,119880,52747,67133,32,14,18,14,6,8,85115,34765
2024-12-17,1,124670,53608,71062,31,13,18,14,6,8,87269,37401
2024-12-18,1,136050,58502,77548,32,14,18,12,5,7,95235,40815
2024-12-19,1,137970,57947,80023,37,16,21,15,6,9,95199,42771
2024-12-20,1,154870,55753,99117,43,15,28,20,7,13,103763,51107
2024-12-21,1,170900,54688,116212,45,14,31,19,6,13,112794,58106
2024-12-22,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-23,1,161180,70919,90261,37,16,21,16,7,9,114438,46742
2024-12-24,1,159460,68568,90892,37,16,21,15,6,9,111622,47838
2024-12-25,1,130920,56296,74624,34,15,19,14,6,8,91644,39276
2024-12-26,1,135750,57015,78735,37,16,21,18,8,10,93668,42082
2024-12-27,1,151420,54511,96909,37,13,24,15,5,10,101451,49969
2024-12-28,1,169000,54080,114920,40,13,27,18,6,12,111540,57460
2024-12-29,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-30,1,158990,69956,89034,39,17,22,19,8,11,112883,46107
2024-12-31,1,162450,69854,92596,39,17,22,16,7,9,113715,48735
